"sep=,"
ticks,z,zMove,zReplication,zDeath,SCFA,Nutrient
0,20,20,0,0,0,243536954
1,20,20,0,0,0,243536936
2,20,20,0,0,0,243536919
3,20,20,0,0,0,243536902
4,20,20,0,0,0,243536883
5,20,20,0,0,0,243536865
6,20,20,0,0,0,243536848
7,20,20,0,0,0,243536829
8,20,20,0,0,0,243536810
9,20,20,0,0,0,243536790
10,20,20,0,0,20,243536770
11,20,20,0,0,20,243536750
12,20,20,0,0,20,243536731
13,20,20,0,0,20,243536713
14,20,20,0,0,19,243536694
15,20,20,0,0,19,243536675
16,20,20,0,0,19,243536655
17,20,20,0,0,19,243536635
18,20,20,0,0,19,243536615
19,20,20,0,0,19,243536595
20,20,20,0,0,39,243536575
21,20,20,0,0,38,243536555
22,20,20,0,0,38,243536535
23,20,20,11,0,38,243536517
24,31,31,0,0,38,243536500
25,31,29,3,0,47,243536473
26,34,34,3,0,45,243536445
27,37,37,1,0,48,243536413
28,38,38,0,0,47,243536381
29,38,38,0,0,47,243536346
30,38,38,1,0,48,243536311
31,39,39,0,0,48,243536276
32,39,39,0,0,48,243536242
33,39,39,0,0,48,243536211
34,39,39,1,0,58,243536179
35,40,40,0,0,74,243536145
36,40,40,0,0,75,243536107
37,40,40,0,0,78,243536070
38,40,40,0,0,78,243536033
39,40,40,0,0,77,243535995
40,40,40,0,0,76,243535957
41,40,40,0,0,76,243535919
42,40,40,0,0,76,243535883
43,40,40,0,0,76,243535847
44,40,40,0,0,87,243535810
45,40,40,0,0,105,243535773
46,40,40,0,0,108,243535738
47,40,40,3,0,109,243535701
48,43,43,2,0,108,243535664
49,45,45,3,0,110,243535626
50,48,48,9,20,111,243535584
51,37,37,1,0,115,243535554
52,38,38,2,0,116,243535523
53,40,40,1,0,117,243535489
54,41,41,1,0,120,243535455
55,42,42,1,0,122,243535420
56,43,43,1,0,121,243535382
57,44,44,0,0,118,243535346
58,44,44,1,0,121,243535307
59,45,45,0,0,134,243535267
60,45,45,0,0,138,243535225
61,45,45,1,0,148,243535183
62,46,46,0,0,151,243535141
63,46,46,0,0,153,243535099
64,46,46,0,0,154,243535057
65,46,46,0,0,154,243535014
66,46,46,0,0,155,243534973
67,46,46,0,0,155,243534933
68,46,46,0,0,157,243534890
69,46,46,0,0,167,243534847
70,46,46,0,0,169,243534804
71,46,46,1,0,180,243534760
72,47,47,4,0,184,243534717
73,51,50,3,0,187,243534672
74,54,53,5,11,190,243534622
75,48,48,3,0,193,243534579
76,51,50,4,3,197,243534533
77,52,52,2,3,198,243534484
78,51,51,4,1,201,243534435
79,54,54,0,0,198,243534389
80,54,54,0,0,200,243534341
81,54,54,0,1,200,243534290
82,53,53,1,0,198,243534240
83,54,54,2,0,202,243534190
84,56,56,3,0,208,243534138
85,59,59,0,1,215,243534085
86,58,58,0,0,227,243534032
87,58,58,0,0,230,243533978
88,58,58,0,0,234,243533925
89,58,58,0,0,236,243533870
90,58,58,1,0,232,243533814
91,59,59,1,0,232,243533757
92,60,60,0,0,232,243533698
93,60,60,0,0,238,243533640
94,60,60,0,0,245,243533581
95,60,60,1,0,251,243533524
96,61,61,2,0,258,243533466
97,63,63,0,0,259,243533408
98,63,63,5,3,262,243533346
99,65,65,3,2,266,243533287
100,66,66,4,3,269,243533231
101,67,66,4,9,269,243533175
102,62,62,1,1,272,243533118
103,62,61,2,2,276,243533060
104,62,62,3,1,281,243533002
105,64,64,2,1,285,243532944
106,65,65,5,1,283,243532883
107,69,69,2,1,279,243532821
108,70,70,2,0,283,243532757
109,72,72,1,1,289,243532692
110,72,72,0,0,295,243532628
111,72,72,1,0,303,243532561
112,73,73,0,1,309,243532495
113,72,72,0,0,311,243532429
114,72,72,0,0,315,243532364
115,72,72,1,0,317,243532299
116,73,73,2,0,315,243532230
117,75,75,1,0,314,243532163
118,76,76,0,0,320,243532094
119,76,76,0,0,331,243532024
120,76,76,1,0,341,243531954
121,77,77,2,0,344,243531884
122,79,79,2,1,353,243531814
123,80,80,3,4,352,243531743
124,79,79,2,3,357,243531676
125,78,78,4,5,357,243531607
126,77,76,5,3,361,243531539
127,79,79,1,4,367,243531472
128,76,76,3,2,372,243531409
129,77,77,1,4,375,243531344
130,74,74,2,0,379,243531278
131,76,76,0,0,381,243531212
132,76,74,2,0,381,243531145
133,78,77,3,1,379,243531080
134,80,79,4,2,385,243531009
135,82,81,0,3,392,243530935
136,79,78,2,0,398,243530862
137,81,80,1,0,411,243530788
138,82,81,2,0,411,243530712
139,84,83,1,0,412,243530638
140,85,84,3,0,416,243530560
141,88,87,0,1,419,243530479
142,87,86,0,1,423,243530396
143,86,85,3,0,426,243530316
144,89,88,0,0,435,243530235
145,89,88,2,0,442,243530154
146,91,90,3,1,443,243530075
147,93,92,1,2,450,243529992
148,92,91,3,0,451,243529908
149,95,94,3,5,451,243529819
150,93,92,2,3,456,243529732
151,92,91,4,4,462,243529653
152,92,90,3,4,464,243529578
153,91,91,1,1,469,243529497
154,91,91,4,2,473,243529412
155,93,93,1,3,472,243529326
156,91,91,3,2,474,243529240
157,92,92,3,5,478,243529155
158,90,90,2,2,481,243529075
159,90,90,2,2,485,243528993
160,90,90,6,1,487,243528910
161,95,95,1,0,493,243528832
