"sep=,"
ticks,Test,TestMove,TestReplication,TestDeath,SCFA,Nutrient
0,200,200,0,0,2322,239177823
1,200,200,0,0,2269,239177638
2,200,200,0,0,2246,239177455
3,200,200,0,0,2232,239177270
4,200,200,0,0,2226,239177085
5,200,200,0,0,2221,239176905
6,200,200,0,0,2217,239176725
7,200,200,0,0,2184,239176543
8,200,200,0,0,2142,239176357
9,200,200,0,0,2113,239176169
10,200,200,0,0,2082,239175980
11,200,200,0,0,2067,239175795
12,200,200,0,0,2052,239175612
13,200,200,0,0,2241,239175426
14,200,200,0,0,2215,239175238
15,200,200,0,0,2182,239175052
16,200,200,0,0,2148,239174867
17,200,200,0,0,2124,239174680
18,200,200,0,0,2102,239174486
19,200,200,0,0,2080,239174295
20,200,200,0,0,2068,239174106
21,200,200,0,0,2053,239173925
22,200,200,0,0,2026,239173743
23,200,200,21,0,1996,239173559
24,221,221,6,0,1968,239173374
25,227,222,21,0,2134,239173172
26,248,247,8,0,2102,239172969
27,256,255,9,0,2078,239172743
28,265,264,8,0,2062,239172510
29,273,272,12,0,2032,239172265
30,285,284,22,0,2012,239172016
31,307,306,9,0,1970,239171759
32,316,315,10,0,1944,239171484
33,326,325,8,0,1904,239171206
34,334,332,6,0,1867,239170918
35,340,338,4,0,1950,239170624
36,344,342,13,0,1921,239170322
37,357,355,6,0,1910,239170012
38,363,361,8,0,1922,239169696
39,371,369,2,0,1906,239169372
40,373,371,2,0,1875,239169041
41,375,373,4,0,1853,239168710
42,379,377,1,0,1815,239168372
43,380,378,5,0,1790,239168034
44,385,383,4,0,1783,239167688
45,389,387,1,0,1740,239167345
46,390,388,2,0,1707,239166987
47,392,390,4,0,1679,239166632
48,396,394,5,0,1824,239166273
49,401,399,8,0,1803,239165912
50,409,403,17,200,1784,239165551
51,226,225,4,0,1785,239165347
52,230,229,8,0,1786,239165140
53,238,237,5,0,1771,239164935
54,243,242,9,0,1752,239164723
55,252,251,9,0,1750,239164507
56,261,258,11,0,1740,239164277
57,272,271,11,0,1726,239164046
