"sep=,"
ticks,test,testMove,testReplication,testDeath,SCFA,Nutrient
0,200,200,0,0,2289,2416106577
1,200,200,0,0,2246,2416106396
2,200,200,0,0,2226,2416106214
3,200,200,0,0,2209,2416106027
4,200,200,0,0,2201,2416105838
5,200,200,0,0,2199,2416105648
6,200,200,0,0,2198,2416105463
7,200,200,0,0,2195,2416105276
8,200,200,0,0,2152,2416105093
9,200,200,0,0,2109,2416104909
10,200,198,0,0,2271,2416104724
11,200,198,0,0,2246,2416104538
12,200,198,0,0,2230,2416104361
13,200,198,0,0,2211,2416104183
14,200,198,0,0,2207,2416104001
15,200,198,0,0,2207,2416103816
16,200,198,0,0,2182,2416103633
17,200,198,0,0,2155,2416103453
18,200,198,0,0,2128,2416103274
19,200,198,0,0,2098,2416103097
20,200,198,0,0,2273,2416102916
21,200,198,0,0,2245,2416102732
22,200,198,0,0,2228,2416102552
23,200,198,6,0,2221,2416102371
24,206,204,10,0,2208,2416102188
25,216,213,9,0,2191,2416102002
26,225,223,12,0,2170,2416101805
27,237,235,13,0,2140,2416101595
28,250,248,13,0,2127,2416101376
29,263,261,18,0,2110,2416101146
30,281,279,11,0,2206,2416100913
31,292,290,3,0,2200,2416100660
32,295,293,9,0,2173,2416100405
33,304,302,11,0,2143,2416100144
34,315,313,11,0,2120,2416099865
35,326,324,5,0,2189,2416099587
36,331,329,6,0,2183,2416099294
37,337,335,5,0,2159,2416098993
38,342,340,5,0,2147,2416098685
39,347,345,3,0,2138,2416098374
40,350,348,1,0,2174,2416098056
41,351,349,7,0,2147,2416097738
42,358,356,7,0,2122,2416097415
43,365,363,9,0,2085,2416097093
44,374,372,2,0,2073,2416096759
45,376,374,5,0,2225,2416096427
46,381,379,2,0,2198,2416096095
47,383,381,1,0,2184,2416095760
48,384,382,2,0,2168,2416095415
49,386,384,5,0,2153,2416095068
50,391,388,9,200,2163,2416094720
51,200,200,5,0,2152,2416094539
52,205,204,6,0,2142,2416094355
53,211,211,6,0,2151,2416094171
54,217,217,3,0,2147,2416093985
55,220,219,6,0,2152,2416093794
56,226,225,5,0,2147,2416093596
57,231,230,10,0,2145,2416093394
58,241,240,8,0,2145,2416093185
59,249,247,10,0,2145,2416092970
60,259,257,6,0,2144,2416092743
61,265,263,1,0,2136,2416092510
62,266,263,12,0,2132,2416092270
63,278,275,11,0,2142,2416092026
64,289,286,8,0,2149,2416091769
65,297,294,4,0,2134,2416091513
66,301,298,5,0,2136,2416091248
67,306,302,6,0,2123,2416090980
68,312,308,6,0,2119,2416090707
69,318,314,6,0,2113,2416090427
70,324,319,6,0,2122,2416090138
71,330,326,5,0,2129,2416089845
72,335,331,3,0,2124,2416089548
73,338,334,6,0,2132,2416089247
74,344,340,6,6,2137,2416088938
75,344,340,6,10,2133,2416088624
76,340,336,7,9,2130,2416088319
77,338,334,7,12,2114,2416088016
78,333,330,4,13,2113,2416087718
79,324,320,6,13,2123,2416087427
80,317,313,3,18,2127,2416087158
81,302,299,9,11,2115,2416086895
82,300,297,8,3,2099,2416086634
83,305,302,4,9,2105,2416086364
84,300,297,9,11,2108,2416086098
85,298,295,9,11,2107,2416085840
86,296,294,6,5,2098,2416085584
87,297,295,6,6,2102,2416085321
88,297,295,4,5,2107,2416085057
89,296,293,11,5,2104,2416084789
90,302,300,5,3,2096,2416084525
91,304,302,3,1,2107,2416084255
92,306,304,11,7,2105,2416083983
93,310,307,3,7,2098,2416083710
94,306,304,10,9,2101,2416083439
95,307,305,0,2,2110,2416083181
96,305,303,5,5,2103,2416082921
97,305,303,6,2,2094,2416082665
98,309,307,6,1,2101,2416082402
99,314,312,2,2,2104,2416082126
100,314,312,4,5,2112,2416081843
101,313,311,3,9,2089,2416081560
102,307,305,9,5,2094,2416081283
103,311,309,5,6,2101,2416081015
104,310,308,10,6,2096,2416080740
105,314,312,8,3,2107,2416080465
106,319,317,6,6,2104,2416080187
107,319,316,3,5,2102,2416079911
108,317,315,9,10,2110,2416079631
109,316,314,6,8,2097,2416079354
110,314,309,9,10,2105,2416079077
111,313,310,5,6,2090,2416078798
112,312,309,4,1,2088,2416078519
113,315,313,8,12,2105,2416078239
114,311,309,8,11,2100,2416077964
115,308,305,4,8,2105,2416077685
116,304,302,9,4,2099,2416077408
117,309,307,11,5,2089,2416077134
118,315,313,7,6,2086,2416076857
119,316,314,6,6,2083,2416076583
120,316,315,4,6,2085,2416076301
121,314,313,1,6,2088,2416076025
122,309,308,4,5,2078,2416075744
123,308,307,6,3,2090,2416075471
124,311,308,7,6,2080,2416075198
125,312,310,7,6,2095,2416074931
126,313,310,5,6,2084,2416074657
127,312,308,9,7,2081,2416074381
128,314,310,3,7,2089,2416074107
129,310,305,4,4,2093,2416073838
130,310,306,6,6,2086,2416073567
131,310,306,3,3,2081,2416073295
132,310,306,10,9,2079,2416073016
133,311,308,8,8,2071,2416072743
134,311,308,11,4,2070,2416072468
135,318,315,5,9,2075,2416072194
136,314,311,8,9,2082,2416071919
137,313,310,6,6,2076,2416071645
138,313,309,6,6,2084,2416071377
139,313,310,6,4,2078,2416071107
140,315,312,9,11,2079,2416070832
141,313,310,5,5,2081,2416070563
142,313,309,5,3,2067,2416070290
143,315,312,5,11,2058,2416070017
144,309,305,4,3,2063,2416069746
145,310,307,6,10,2071,2416069471
146,306,303,8,0,2068,2416069198
147,314,311,5,5,2072,2416068918
148,314,311,6,6,2066,2416068643
149,314,311,4,6,2065,2416068366
150,312,310,5,2,2063,2416068086
151,315,313,6,4,2060,2416067805
152,317,315,6,3,2052,2416067523
153,320,317,8,9,2058,2416067233
154,319,317,8,5,2063,2416066949
155,322,320,6,10,2073,2416066664
156,318,316,4,8,2074,2416066388
157,314,312,8,6,2068,2416066102
158,316,314,6,3,2058,2416065820
159,319,317,9,9,2059,2416065538
160,319,316,14,6,2054,2416065251
161,327,325,6,9,2058,2416064965
162,324,322,12,5,2061,2416064679
163,331,329,6,4,2067,2416064388
164,333,331,8,8,2068,2416064094
165,333,331,9,8,2064,2416063804
166,334,332,2,4,2060,2416063511
167,332,331,7,9,2046,2416063207
168,330,329,4,11,2035,2416062908
169,323,323,8,7,2028,2416062615
170,324,323,9,6,2042,2416062329
171,327,326,6,4,2059,2416062044
172,329,329,5,1,2056,2416061748
173,333,333,10,4,2068,2416061448
174,339,339,6,6,2062,2416061157
175,339,339,7,7,2052,2416060862
176,339,339,7,7,2051,2416060563
177,339,339,5,5,2028,2416060263
178,339,337,1,9,2027,2416059967
179,331,331,4,3,2023,2416059664
180,332,332,2,4,2029,2416059368
181,330,330,7,6,2049,2416059082
182,331,331,4,3,2054,2416058795
183,332,332,8,10,2059,2416058498
184,330,330,8,8,2046,2416058207
185,330,330,9,11,2047,2416057922
186,328,328,9,5,2051,2416057637
187,332,332,5,8,2026,2416057346
188,329,329,6,6,2029,2416057055
189,329,329,5,6,2035,2416056775
190,328,328,8,6,2036,2416056496
191,330,328,6,9,2034,2416056215
192,327,326,11,5,2036,2416055927
193,333,330,7,5,2024,2416055631
194,335,334,11,5,2032,2416055331
195,341,340,6,4,2027,2416055029
196,343,341,4,6,2025,2416054726
197,341,340,6,8,2032,2416054416
198,339,338,9,5,2038,2416054117
199,343,342,11,6,2034,2416053818
200,348,347,6,4,2036,2416053518
201,350,349,8,5,2036,2416053210
202,353,352,5,6,2030,2416052896
203,352,351,7,6,2027,2416052580
204,353,352,13,8,2014,2416052267
205,358,356,4,8,2020,2416051958
206,354,352,9,6,2033,2416051640
207,357,356,4,4,2032,2416051324
208,357,356,4,8,2026,2416051002
209,353,352,6,6,2024,2416050681
210,353,352,1,9,2024,2416050365
211,345,344,13,14,2030,2416050048
212,344,343,7,6,2025,2416049735
213,345,344,7,12,2013,2416049431
214,340,339,5,6,2012,2416049129
215,339,338,7,8,2021,2416048829
216,338,335,5,9,2019,2416048535
217,334,331,5,2,2018,2416048235
218,337,335,4,7,2012,2416047933
219,334,332,4,4,2013,2416047636
220,334,332,11,8,2017,2416047335
221,337,335,8,9,2012,2416047035
222,336,334,11,6,2018,2416046728
223,341,339,6,5,2009,2416046429
224,342,340,7,10,2016,2416046125
225,339,337,6,6,2018,2416045816
226,339,337,6,7,2012,2416045506
227,338,336,7,7,2008,2416045193
228,338,336,8,5,1998,2416044887
229,341,339,7,1,1993,2416044584
230,347,345,4,4,1996,2416044278
231,347,345,9,2,1987,2416043965
232,354,352,8,7,1987,2416043648
233,355,354,10,4,1994,2416043328
234,361,360,5,8,1995,2416043004
235,358,357,5,8,2005,2416042680
236,355,354,8,9,1997,2416042364
237,354,352,3,9,1995,2416042058
238,348,347,6,5,1999,2416041742
239,349,348,10,6,1994,2416041429
240,353,352,11,5,1990,2416041117
241,359,358,8,8,1978,2416040804
242,359,359,7,6,1988,2416040488
243,360,360,5,11,1986,2416040166
244,354,354,7,7,1994,2416039846
245,354,354,6,11,1997,2416039529
246,349,349,9,6,1993,2416039209
247,352,352,6,4,2007,2416038886
248,354,354,11,6,2004,2416038565
249,359,359,10,9,1987,2416038246
250,360,360,4,11,1995,2416037932
251,353,353,6,6,1986,2416037620
252,353,353,4,8,1991,2416037316
253,349,349,11,5,1987,2416037008
254,355,355,8,7,1992,2416036701
255,356,354,5,13,1991,2416036388
256,348,347,5,4,1985,2416036081
257,349,348,8,9,1990,2416035777
258,348,346,7,4,1990,2416035478
259,351,350,8,4,1992,2416035168
260,355,354,4,6,1990,2416034851
261,353,352,9,1,1988,2416034536
262,361,360,5,13,1992,2416034224
263,353,352,7,7,1986,2416033919
264,353,352,9,7,1975,2416033608
265,355,354,7,5,1972,2416033295
266,357,356,7,7,1982,2416032975
267,357,356,6,5,1980,2416032658
268,358,355,10,5,1977,2416032342
269,363,361,9,4,1990,2416032025
270,368,366,8,4,1997,2416031702
271,372,370,7,11,1994,2416031380
272,368,365,10,8,1987,2416031057
273,370,368,7,11,1979,2416030725
274,366,364,5,6,1981,2416030400
275,365,362,7,7,1974,2416030074
276,365,362,8,6,1976,2416029758
277,367,364,9,6,1976,2416029432
278,370,366,13,7,1981,2416029112
279,376,373,9,8,1996,2416028794
280,377,374,10,7,1978,2416028465
281,380,377,7,4,1975,2416028131
282,383,380,11,9,1973,2416027800
283,385,381,7,8,1967,2416027473
284,384,381,7,10,1966,2416027145
285,381,378,5,5,1959,2416026824
286,381,378,4,5,1959,2416026496
287,380,376,5,8,1962,2416026164
288,377,374,5,3,1952,2416025829
289,379,376,3,6,1960,2416025489
290,376,372,12,10,1966,2416025149
291,378,376,5,11,1956,2416024822
292,372,368,9,8,1954,2416024492
293,373,370,4,7,1955,2416024167
294,370,367,4,5,1965,2416023844
295,369,366,7,7,1967,2416023519
296,369,367,9,6,1954,2416023196
297,372,369,13,9,1947,2416022868
298,376,374,6,6,1949,2416022542
299,376,374,9,11,1964,2416022211
300,374,372,10,10,1956,2416021888
301,374,372,9,4,1959,2416021553
302,379,377,7,6,1947,2416021213
303,380,378,6,4,1947,2416020870
304,382,380,10,11,1945,2416020540
305,381,378,8,8,1941,2416020207
306,381,379,6,5,1940,2416019872
307,382,380,9,5,1945,2416019529
308,386,382,12,8,1942,2416019187
309,390,389,15,7,1944,2416018842
310,398,397,6,8,1943,2416018496
311,396,395,10,4,1939,2416018151
312,402,401,3,9,1934,2416017793
313,396,395,9,5,1942,2416017437
314,400,399,3,7,1947,2416017081
315,396,395,5,9,1963,2416016723
316,392,391,10,7,1960,2416016365
317,395,394,5,7,1951,2416016011
318,393,392,5,6,1959,2416015650
319,392,391,6,10,1946,2416015295
320,388,386,6,9,1952,2416014947
321,385,383,9,8,1956,2416014601
322,386,384,4,7,1956,2416014267
323,383,381,7,10,1953,2416013933
324,380,378,7,7,1952,2416013599
325,380,378,10,5,1945,2416013262
326,385,383,9,7,1948,2416012917
327,387,385,17,8,1940,2416012573
328,396,394,6,9,1944,2416012227
329,393,391,10,13,1940,2416011874
330,390,387,7,9,1946,2416011525
331,388,385,9,10,1931,2416011186
332,387,383,6,7,1939,2416010849
333,386,384,10,11,1940,2416010509
334,385,383,6,7,1934,2416010176
335,384,382,5,7,1931,2416009837
336,382,380,14,5,1929,2416009514
337,391,389,7,4,1931,2416009172
338,394,392,7,5,1949,2416008826
339,396,392,10,5,1936,2416008475
340,401,399,7,3,1932,2416008121
341,405,404,4,12,1932,2416007767
342,397,395,9,5,1939,2416007418
343,401,399,7,9,1933,2416007055
344,399,397,12,4,1936,2416006700
345,407,405,11,4,1932,2416006345
346,414,412,6,7,1930,2416005981
347,413,411,4,9,1933,2416005615
348,408,406,10,13,1940,2416005256
349,405,403,7,6,1930,2416004902
350,406,404,6,9,1947,2416004544
351,403,401,6,10,1940,2416004185
352,399,397,9,9,1936,2416003834
353,399,397,11,7,1939,2416003485
354,403,401,8,6,1949,2416003126
355,405,403,8,10,1955,2416002765
356,403,401,10,8,1958,2416002412
357,405,404,10,6,1946,2416002063
358,409,408,8,9,1954,2416001701
359,408,407,12,12,1950,2416001334
360,408,407,9,15,1956,2416000975
361,402,401,7,6,1943,2416000628
362,403,402,3,10,1938,2416000276
363,396,395,9,3,1936,2415999922
364,402,401,6,9,1940,2415999572
365,399,398,12,3,1932,2415999224
366,408,407,6,5,1939,2415998871
367,409,408,7,10,1941,2415998513
368,406,405,8,5,1936,2415998159
369,409,407,11,5,1940,2415997805
370,415,413,11,6,1938,2415997450
371,420,417,6,6,1937,2415997087
372,420,418,6,9,1944,2415996713
373,417,415,10,4,1942,2415996339
374,423,421,6,7,1934,2415995971
375,422,419,11,7,1931,2415995599
376,426,424,9,10,1933,2415995224
377,425,423,8,9,1931,2415994852
378,424,422,9,17,1910,2415994481
379,416,414,10,6,1908,2415994111
380,420,417,9,10,1928,2415993749
381,419,417,7,7,1935,2415993382
382,419,417,9,9,1935,2415993011
383,419,418,7,6,1929,2415992644
384,420,419,4,10,1930,2415992271
385,414,413,11,6,1914,2415991902
386,419,418,7,5,1915,2415991535
387,421,420,14,14,1911,2415991164
388,421,420,5,7,1911,2415990798
389,419,418,12,7,1917,2415990421
390,424,423,11,10,1933,2415990053
391,425,424,9,7,1953,2415989673
392,427,426,7,4,1946,2415989297
393,430,429,13,9,1935,2415988917
394,434,431,11,7,1940,2415988548
395,438,436,4,12,1920,2415988175
396,430,429,7,11,1926,2415987793
397,426,425,7,6,1924,2415987421
398,427,426,5,4,1924,2415987045
399,428,427,10,10,1925,2415986675
400,428,427,10,7,1938,2415986301
401,431,429,7,6,1944,2415985921
402,432,431,10,6,1941,2415985540
403,436,435,13,9,1940,2415985154
404,440,439,7,11,1934,2415984769
405,436,433,9,8,1944,2415984378
406,437,436,13,8,1939,2415983989
407,442,441,6,10,1935,2415983607
408,438,437,5,10,1929,2415983225
409,433,432,9,8,1915,2415982838
410,434,433,8,12,1917,2415982446
411,430,429,5,9,1929,2415982053
412,426,425,7,7,1928,2415981674
413,426,425,7,3,1929,2415981288
414,430,429,7,9,1937,2415980905
415,428,427,7,6,1934,2415980523
416,429,428,10,12,1939,2415980141
417,427,426,9,6,1933,2415979770
418,430,429,10,7,1937,2415979389
419,433,432,10,8,1933,2415979014
420,435,434,17,11,1929,2415978642
421,441,439,4,11,1930,2415978273
422,434,433,13,6,1930,2415977895
423,441,440,7,6,1921,2415977517
424,442,441,10,10,1927,2415977131
425,442,440,11,6,1931,2415976751
426,447,446,9,11,1936,2415976365
427,445,444,6,9,1948,2415975982
428,442,441,7,8,1947,2415975601
429,441,440,6,9,1936,2415975218
430,438,438,9,10,1939,2415974835
431,437,437,11,9,1930,2415974457
432,439,438,9,7,1913,2415974070
433,441,441,13,9,1926,2415973683
434,445,445,8,7,1923,2415973304
435,446,446,9,4,1937,2415972920
436,451,451,6,11,1942,2415972520
437,446,446,8,7,1939,2415972126
438,447,447,7,14,1937,2415971739
439,440,440,11,5,1942,2415971347
440,446,445,12,12,1938,2415970956
441,446,446,10,11,1936,2415970569
442,445,445,6,9,1932,2415970179
443,442,442,5,7,1940,2415969790
444,440,440,8,13,1930,2415969393
445,435,435,11,11,1940,2415969001
446,435,435,7,4,1941,2415968616
447,438,438,8,7,1942,2415968221
448,439,439,9,7,1939,2415967827
449,441,439,12,5,1930,2415967437
450,448,444,17,10,1927,2415967042
451,455,452,7,10,1939,2415966653
452,452,449,11,7,1946,2415966263
453,456,453,10,10,1940,2415965871
454,456,453,13,13,1936,2415965473
455,456,453,4,7,1931,2415965084
456,453,449,11,9,1927,2415964679
457,455,452,14,13,1918,2415964289
458,456,453,9,6,1929,2415963907
459,459,456,6,5,1921,2415963506
460,460,456,4,9,1932,2415963106
461,455,451,14,8,1937,2415962704
462,461,457,7,5,1933,2415962297
463,463,459,7,7,1927,2415961889
464,463,459,11,7,1926,2415961490
465,467,463,10,7,1920,2415961076
466,470,465,10,7,1934,2415960663
467,473,468,6,10,1934,2415960244
468,469,464,8,9,1947,2415959831
469,468,463,6,10,1945,2415959418
470,464,459,13,10,1936,2415959002
471,467,462,13,17,1930,2415958593
472,463,459,7,4,1930,2415958191
473,466,462,15,13,1930,2415957775
474,468,464,12,7,1924,2415957373
475,473,470,5,10,1941,2415956960
476,468,465,15,11,1934,2415956538
477,472,469,10,9,1945,2415956128
478,473,470,14,6,1947,2415955714
479,481,477,9,7,1943,2415955303
480,483,479,7,6,1938,2415954881
481,484,480,8,9,1939,2415954456
482,483,479,12,11,1939,2415954031
483,484,479,10,9,1928,2415953608
484,485,481,9,13,1929,2415953182
485,481,476,13,8,1937,2415952766
486,486,481,13,9,1934,2415952351
487,490,486,9,6,1935,2415951927
488,493,489,8,8,1937,2415951496
489,493,489,9,7,1934,2415951069
490,495,491,10,11,1917,2415950633
491,494,491,6,12,1910,2415950199
492,488,485,6,10,1903,2415949774
493,484,481,7,6,1914,2415949350
494,485,482,14,5,1914,2415948927
495,494,491,12,8,1918,2415948503
496,498,494,8,11,1923,2415948073
497,495,492,7,7,1936,2415947644
498,495,492,7,8,1941,2415947210
499,494,491,6,9,1936,2415946771
500,491,488,15,12,1937,2415946340
501,494,492,10,17,1938,2415945905
502,487,486,13,7,1940,2415945466
503,493,492,11,11,1943,2415945027
504,493,492,8,10,1933,2415944591
505,491,490,11,13,1921,2415944170
506,489,488,16,4,1941,2415943746
507,501,500,16,11,1958,2415943309
508,506,505,13,14,1943,2415942875
509,505,504,6,9,1945,2415942437
510,502,500,12,6,1949,2415942002
511,508,507,12,4,1953,2415941564
512,516,515,12,14,1946,2415941112
513,514,513,19,7,1948,2415940663
514,526,523,6,7,1946,2415940204
515,525,522,12,11,1947,2415939739
516,526,523,16,10,1940,2415939266
517,532,528,9,10,1951,2415938809
518,531,527,13,6,1950,2415938343
519,538,534,17,8,1950,2415937873
520,547,544,8,6,1936,2415937400
521,549,545,7,13,1955,2415936926
522,543,540,7,13,1964,2415936455
523,537,534,7,7,1966,2415935975
524,537,534,12,15,1968,2415935505
525,534,531,9,12,1970,2415935037
526,531,528,8,5,1957,2415934566
527,534,531,6,15,1950,2415934083
528,525,522,10,10,1949,2415933613
529,525,522,11,14,1950,2415933161
530,522,519,11,9,1961,2415932714
531,524,519,10,7,1969,2415932256
532,527,523,8,8,1967,2415931793
533,527,523,7,12,1969,2415931337
534,522,517,17,10,1975,2415930889
535,529,525,9,9,1968,2415930437
536,529,525,10,13,1965,2415929971
537,526,522,8,13,1953,2415929513
538,521,517,7,9,1943,2415929063
539,519,515,11,8,1945,2415928607
540,522,518,12,9,1950,2415928141
