"sep=,"
ticks,test,testMove,testReplication,testDeath,SCFA,Nutrient
0,300,300,0,0,2252,2433491545
1,300,300,0,0,2189,2433491266
2,300,300,0,0,2160,2433490996
3,300,300,0,0,2136,2433490722
4,300,300,0,0,2124,2433490449
5,300,300,0,0,2119,2433490172
6,300,300,0,0,2114,2433489906
7,300,300,0,0,2111,2433489636
8,300,300,0,0,2108,2433489361
9,300,300,0,0,2107,2433489082
10,300,298,0,0,2043,2433488808
11,300,298,0,0,2274,2433488531
12,300,298,0,0,2219,2433488257
13,300,298,0,0,2181,2433487984
14,300,298,0,0,2163,2433487706
15,300,298,0,0,2147,2433487424
16,300,298,0,0,2135,2433487141
17,300,298,0,0,2127,2433486863
18,300,298,0,0,2124,2433486592
19,300,298,0,0,2120,2433486330
20,300,298,0,0,2093,2433486069
21,300,298,0,0,2055,2433485809
22,300,298,0,0,2290,2433485539
23,300,298,37,0,2244,2433485264
24,337,335,9,0,2212,2433484992
25,346,344,11,0,2184,2433484686
26,357,355,7,0,2157,2433484371
27,364,362,7,0,2136,2433484049
28,371,369,2,0,2121,2433483720
29,373,371,3,0,2106,2433483380
30,376,374,19,0,2093,2433483042
31,395,393,26,0,2063,2433482708
32,421,419,26,0,2019,2433482356
33,447,445,27,0,2122,2433481987
34,474,472,6,0,2188,2433481598
35,480,478,7,0,2172,2433481193
36,487,485,8,0,2139,2433480779
37,495,493,5,0,2114,2433480343
38,500,498,2,0,2093,2433479910
39,502,500,2,0,2081,2433479466
40,504,502,6,0,2050,2433479017
41,510,508,6,0,2019,2433478565
42,516,514,17,0,2000,2433478101
43,533,529,10,0,1982,2433477634
44,543,539,9,0,2005,2433477154
45,552,548,4,0,2197,2433476678
46,556,552,1,0,2175,2433476181
47,557,553,10,0,2145,2433475696
48,567,563,7,0,2126,2433475214
49,574,570,2,0,2103,2433474718
50,576,570,11,300,2074,2433474215
51,287,284,4,0,2050,2433473959
52,291,289,3,0,2040,2433473695
53,294,291,2,0,2035,2433473434
54,296,293,1,0,2056,2433473163
55,297,294,7,0,2062,2433472897
56,304,301,13,0,2069,2433472633
57,317,313,14,0,2071,2433472355
58,331,327,10,0,2074,2433472070
59,341,337,7,0,2074,2433471777
60,348,343,4,0,2067,2433471468
61,352,348,8,0,2044,2433471144
62,360,356,4,0,2038,2433470830
63,364,360,11,0,2019,2433470512
64,375,371,8,0,2013,2433470194
65,383,379,13,0,2016,2433469864
66,396,392,12,0,2027,2433469524
67,408,404,13,0,2037,2433469168
68,421,417,8,0,2034,2433468794
69,429,425,11,0,2055,2433468415
70,440,436,10,0,2054,2433468031
71,450,446,8,0,2046,2433467637
72,458,454,6,0,2029,2433467236
73,464,460,8,0,2015,2433466826
74,472,468,11,37,2002,2433466407
75,446,442,10,9,1986,2433466022
76,447,443,8,11,1988,2433465623
77,444,440,9,7,2007,2433465234
78,446,442,4,7,2015,2433464846
79,443,439,6,2,2025,2433464454
80,447,442,6,3,2030,2433464061
81,450,446,8,19,2032,2433463662
82,439,435,11,26,2029,2433463278
83,424,419,11,26,2012,2433462911
84,409,407,7,27,1999,2433462553
85,389,388,6,6,1993,2433462209
86,389,386,8,7,2001,2433461867
87,390,389,6,8,2001,2433461519
88,388,387,8,5,2003,2433461169
89,391,390,8,2,2006,2433460830
90,397,396,7,2,2003,2433460483
91,402,401,9,6,2004,2433460134
92,405,403,7,6,2007,2433459794
93,406,405,13,17,2013,2433459433
94,402,402,5,10,2007,2433459089
95,397,397,6,9,1994,2433458734
96,394,394,8,4,1989,2433458372
97,398,398,4,1,1998,2433458012
98,401,401,8,10,1996,2433457655
99,399,399,10,7,1997,2433457298
100,402,402,15,2,1995,2433456950
101,415,414,9,11,1982,2433456595
102,413,412,7,4,1987,2433456229
103,416,415,11,3,1989,2433455869
104,424,424,5,2,1991,2433455502
105,427,426,9,1,1994,2433455126
106,435,433,13,7,1985,2433454750
107,441,440,7,13,1984,2433454358
108,435,432,10,14,1985,2433453982
109,431,429,2,10,1987,2433453609
110,423,421,13,7,1986,2433453228
111,429,426,9,4,1980,2433452849
112,434,431,6,8,1995,2433452470
113,432,429,9,4,2003,2433452086
114,437,434,8,11,1992,2433451702
115,434,430,11,8,1984,2433451307
116,437,434,6,13,1993,2433450920
117,430,427,9,12,1993,2433450547
118,427,425,8,13,1993,2433450164
119,422,418,13,8,1985,2433449788
120,427,426,10,11,1985,2433449414
121,426,425,3,10,1972,2433449036
122,419,418,5,8,1975,2433448659
123,416,415,7,6,1986,2433448283
124,417,416,8,8,1982,2433447901
125,417,415,15,11,1977,2433447530
126,421,419,6,10,1975,2433447166
127,417,416,9,8,1982,2433446803
128,418,417,6,9,1976,2433446444
129,415,414,6,4,1986,2433446072
130,417,415,3,6,1981,2433445698
131,414,412,12,6,1977,2433445328
132,420,419,6,8,1974,2433444957
133,418,417,7,11,1969,2433444585
134,414,412,12,11,1974,2433444221
135,415,414,4,7,1964,2433443861
136,412,411,12,6,1964,2433443495
137,418,417,9,8,1983,2433443123
138,419,418,6,6,1975,2433442747
139,419,417,8,8,1976,2433442380
140,419,418,10,8,1971,2433442015
141,421,420,6,7,1973,2433441638
142,420,419,7,9,1967,2433441268
143,418,417,12,7,1972,2433440901
144,423,422,11,13,1964,2433440537
145,421,420,10,5,1963,2433440170
146,426,425,10,6,1958,2433439801
147,430,429,6,8,1950,2433439423
148,428,427,8,4,1949,2433439050
149,432,431,9,8,1951,2433438681
150,433,432,5,10,1939,2433438311
151,428,426,11,15,1931,2433437939
152,424,424,7,9,1940,2433437572
153,422,422,6,7,1927,2433437200
154,421,421,5,11,1942,2433436826
155,415,414,6,5,1939,2433436461
156,416,416,6,9,1945,2433436096
157,413,413,7,13,1944,2433435735
158,407,407,12,7,1942,2433435373
159,412,411,5,10,1949,2433435010
160,407,406,15,2,1948,2433434641
161,420,419,10,13,1939,2433434272
162,417,416,8,9,1936,2433433911
163,416,415,12,6,1934,2433433544
164,422,421,7,9,1925,2433433173
165,420,419,6,8,1924,2433432809
166,418,417,6,11,1929,2433432446
167,413,410,12,6,1928,2433432081
168,419,416,10,9,1926,2433431709
169,420,417,5,8,1919,2433431336
170,417,415,10,13,1922,2433430966
171,414,412,4,10,1917,2433430607
172,408,406,5,3,1927,2433430252
173,410,408,10,5,1931,2433429893
174,415,413,9,7,1931,2433429529
175,417,415,7,8,1926,2433429158
176,416,414,9,15,1916,2433428797
177,410,407,7,6,1917,2433428431
178,411,408,10,9,1909,2433428072
179,412,408,10,6,1905,2433427713
180,416,413,9,6,1916,2433427357
181,419,416,10,3,1917,2433426996
182,426,423,10,12,1920,2433426619
183,424,421,8,6,1920,2433426241
184,426,422,9,7,1920,2433425871
185,428,425,8,12,1920,2433425501
186,424,421,9,4,1929,2433425127
187,429,424,12,12,1916,2433424756
188,429,426,9,9,1901,2433424386
189,429,426,5,6,1902,2433424023
190,428,425,2,8,1914,2433423649
191,422,419,11,10,1912,2433423274
192,423,420,9,6,1907,2433422905
193,426,424,11,7,1898,2433422532
194,430,429,8,12,1895,2433422153
195,426,425,8,11,1895,2433421771
196,423,422,9,10,1899,2433421394
197,422,421,11,10,1913,2433421026
198,423,421,11,6,1914,2433420654
199,428,427,10,8,1916,2433420274
200,430,429,5,9,1917,2433419901
201,426,425,9,5,1913,2433419525
202,430,429,5,11,1888,2433419149
203,424,423,8,7,1894,2433418779
204,425,424,6,6,1890,2433418406
205,425,424,6,5,1896,2433418036
206,426,425,5,6,1903,2433417657
207,425,424,10,6,1901,2433417281
208,429,428,7,7,1908,2433416911
209,429,428,10,12,1921,2433416532
210,427,426,8,5,1918,2433416166
211,430,429,7,15,1921,2433415790
212,422,421,13,10,1917,2433415417
213,425,424,4,8,1896,2433415041
214,421,420,12,12,1900,2433414673
215,421,420,15,7,1894,2433414305
216,429,428,2,6,1894,2433413937
217,425,424,10,6,1898,2433413556
218,429,429,12,12,1898,2433413184
219,429,429,7,10,1901,2433412800
220,426,426,8,5,1906,2433412424
221,429,429,7,10,1904,2433412049
222,426,424,11,4,1910,2433411675
223,433,433,11,5,1903,2433411298
224,439,439,8,10,1901,2433410911
225,437,437,14,9,1898,2433410516
226,442,442,14,7,1891,2433410126
227,449,449,6,9,1893,2433409732
228,446,446,3,7,1880,2433409329
229,442,442,9,10,1872,2433408937
230,441,440,5,10,1884,2433408540
231,436,435,10,9,1886,2433408157
232,437,436,10,10,1883,2433407782
233,437,435,4,10,1878,2433407409
234,431,430,8,8,1887,2433407025
235,431,430,5,9,1890,2433406646
236,427,426,6,8,1874,2433406265
237,425,423,9,9,1882,2433405882
238,425,424,8,12,1897,2433405502
239,421,420,11,9,1883,2433405129
240,423,421,9,5,1883,2433404763
241,427,425,7,2,1895,2433404392
242,432,430,12,11,1892,2433404007
243,433,431,13,9,1877,2433403630
244,437,435,6,11,1879,2433403255
245,432,430,13,8,1873,2433402884
246,437,435,13,8,1872,2433402495
247,442,440,10,9,1873,2433402112
248,443,441,3,11,1869,2433401723
249,435,432,15,11,1887,2433401333
250,439,437,10,10,1884,2433400954
251,439,437,8,5,1877,2433400576
252,442,440,8,9,1883,2433400187
253,441,439,12,5,1872,2433399791
254,448,446,6,8,1871,2433399398
255,446,444,14,6,1868,2433398997
256,454,451,8,6,1858,2433398601
257,456,454,2,5,1865,2433398198
258,453,450,7,10,1870,2433397789
259,450,447,7,7,1871,2433397391
260,450,448,6,10,1868,2433396996
261,446,444,11,8,1880,2433396595
262,449,447,6,7,1872,2433396203
263,448,446,8,13,1871,2433395814
264,443,441,7,4,1869,2433395434
265,446,444,11,12,1870,2433395049
266,445,442,10,15,1867,2433394652
267,440,438,5,2,1860,2433394265
268,443,439,11,10,1863,2433393884
269,444,440,9,12,1860,2433393495
270,441,438,6,7,1856,2433393103
271,440,436,13,8,1851,2433392712
272,445,442,10,7,1859,2433392323
273,448,445,7,11,1861,2433391943
274,444,441,10,11,1857,2433391550
275,443,440,10,8,1851,2433391167
276,445,442,13,14,1853,2433390773
277,444,441,10,14,1855,2433390383
278,440,437,10,6,1860,2433389995
279,444,440,14,3,1846,2433389610
280,455,452,9,9,1836,2433389227
281,455,453,3,5,1840,2433388834
282,453,451,9,10,1837,2433388447
283,452,450,8,10,1838,2433388055
284,450,448,9,4,1842,2433387665
285,455,453,6,8,1837,2433387271
286,453,451,8,5,1830,2433386880
287,456,454,7,6,1824,2433386492
288,457,456,13,9,1843,2433386102
289,461,460,7,8,1843,2433385700
290,460,459,7,11,1842,2433385297
291,456,455,9,9,1857,2433384899
292,456,455,9,7,1860,2433384496
293,458,457,7,12,1846,2433384099
294,453,452,4,13,1841,2433383704
295,444,443,9,6,1847,2433383317
296,447,446,13,13,1842,2433382929
297,447,446,14,13,1839,2433382540
298,448,447,6,10,1834,2433382152
299,444,443,11,3,1833,2433381763
300,452,450,9,15,1843,2433381365
301,446,444,3,10,1848,2433380982
302,439,437,10,8,1850,2433380590
303,441,439,12,8,1846,2433380202
304,445,442,10,12,1843,2433379812
305,443,441,5,6,1841,2433379420
306,442,440,6,14,1830,2433379025
307,434,432,10,8,1839,2433378635
308,436,434,10,2,1830,2433378240
309,444,442,9,7,1837,2433377850
310,446,444,6,7,1836,2433377460
311,445,443,11,6,1848,2433377064
312,450,448,5,11,1846,2433376670
313,444,442,9,6,1834,2433376280
314,447,445,8,8,1841,2433375896
315,447,442,10,7,1839,2433375501
316,450,447,14,11,1838,2433375112
317,453,449,14,10,1824,2433374717
318,457,454,11,5,1824,2433374320
319,463,460,4,11,1833,2433373923
320,456,453,9,9,1836,2433373527
321,456,453,16,6,1825,2433373121
322,466,463,7,13,1830,2433372725
323,460,457,10,10,1837,2433372318
324,460,458,12,7,1822,2433371920
325,465,463,6,10,1826,2433371515
326,461,458,10,10,1828,2433371116
327,461,458,11,13,1818,2433370719
328,459,457,15,10,1823,2433370329
329,464,462,8,10,1823,2433369940
330,462,461,9,14,1834,2433369540
331,457,454,11,9,1815,2433369138
332,459,456,9,3,1809,2433368733
333,465,462,9,9,1813,2433368328
334,465,462,7,8,1808,2433367921
335,464,461,7,9,1806,2433367510
336,462,459,4,6,1805,2433367095
337,460,457,10,8,1808,2433366681
338,462,459,7,7,1812,2433366270
339,462,459,10,13,1814,2433365858
340,459,456,5,7,1822,2433365455
341,457,455,17,7,1815,2433365050
342,467,466,9,9,1810,2433364642
343,467,466,6,9,1820,2433364233
344,464,463,11,7,1803,2433363824
345,468,467,12,4,1809,2433363419
346,476,474,6,9,1807,2433362992
347,473,471,5,13,1805,2433362581
348,465,463,6,14,1798,2433362178
349,457,455,12,6,1812,2433361782
350,463,461,13,11,1812,2433361383
351,465,463,6,9,1811,2433360983
352,462,460,14,3,1800,2433360585
353,473,471,4,10,1800,2433360177
354,467,464,16,12,1801,2433359759
355,471,468,7,10,1797,2433359350
356,468,464,10,5,1809,2433358946
357,473,467,10,6,1813,2433358544
358,477,471,13,10,1805,2433358125
359,480,473,13,10,1797,2433357709
360,483,476,7,9,1795,2433357301
361,481,475,8,6,1804,2433356888
362,483,477,11,11,1799,2433356474
363,483,476,10,5,1798,2433356066
364,488,481,13,9,1811,2433355636
365,492,484,8,8,1803,2433355221
366,492,485,7,10,1797,2433354801
367,489,481,15,14,1792,2433354380
368,490,484,6,14,1790,2433353973
369,482,476,6,11,1782,2433353571
370,477,471,12,4,1783,2433353154
371,485,479,6,9,1784,2433352737
372,482,476,13,16,1782,2433352310
373,479,473,10,7,1771,2433351899
374,482,476,7,10,1778,2433351482
375,479,473,7,12,1775,2433351061
376,474,467,5,6,1783,2433350648
377,473,467,14,10,1786,2433350231
378,477,471,15,11,1782,2433349821
379,481,473,7,15,1778,2433349407
380,473,467,7,8,1772,2433348989
381,472,466,9,9,1774,2433348580
382,472,465,10,11,1781,2433348172
383,471,466,21,9,1777,2433347770
384,483,478,4,9,1768,2433347365
385,478,472,7,7,1767,2433346943
386,478,473,7,7,1763,2433346530
387,478,473,10,4,1779,2433346109
388,484,478,10,10,1775,2433345679
389,484,479,13,7,1779,2433345256
390,490,485,7,10,1792,2433344831
391,487,482,6,5,1786,2433344400
392,488,483,12,17,1774,2433343960
393,483,477,14,9,1773,2433343538
394,488,482,9,6,1766,2433343108
395,491,487,12,11,1774,2433342684
396,492,488,10,12,1769,2433342253
397,490,487,8,6,1761,2433341819
398,492,489,9,5,1760,2433341378
399,496,494,9,6,1755,2433340942
400,499,497,16,12,1770,2433340515
401,503,501,14,13,1770,2433340081
402,504,502,13,6,1761,2433339631
403,511,508,12,14,1755,2433339187
404,509,506,11,4,1759,2433338746
405,516,514,11,16,1756,2433338301
406,511,508,7,7,1757,2433337853
407,511,509,6,10,1757,2433337399
408,507,505,9,10,1762,2433336955
409,506,503,9,13,1750,2433336517
410,502,499,9,13,1763,2433336077
411,498,496,7,7,1753,2433335636
412,498,494,11,8,1762,2433335197
413,501,500,7,11,1772,2433334759
414,497,496,11,10,1769,2433334335
415,498,496,14,13,1779,2433333904
416,499,498,20,8,1783,2433333474
417,511,510,4,7,1785,2433333038
418,508,507,9,15,1786,2433332594
419,502,501,13,6,1774,2433332154
420,509,508,6,6,1775,2433331709
421,509,507,9,12,1756,2433331261
422,506,505,8,6,1761,2433330817
423,508,507,7,13,1771,2433330363
424,502,501,15,10,1770,2433329925
