"sep=,"
ticks,Test,TestMove,TestTumble,Attractant
0,100,100,0,1000
1,100,100,0,2000
2,100,100,0,3000
3,100,100,0,4000
4,100,100,0,5000
5,100,100,0,6000
6,100,100,0,7000
7,100,100,0,8000
8,100,100,0,9000
9,100,99,1,10000
10,100,2,98,11000
11,100,100,0,12000
12,100,99,1,13000
13,100,100,0,14000
14,100,100,0,15000
15,100,100,0,16000
16,100,100,0,17000
17,100,100,0,18000
18,100,100,0,19000
19,100,99,1,20000
20,100,6,94,21000
21,100,100,0,22000
22,100,100,0,23000
23,100,100,0,24000
24,100,100,0,25000
25,100,98,2,26000
26,100,100,0,27000
27,100,100,0,28000
28,100,100,0,29000
29,100,99,1,30000
30,100,14,86,31000
31,100,98,2,32000
32,100,98,2,33000
33,100,98,2,34000
34,100,99,1,35000
35,100,100,0,36000
36,100,99,1,37000
37,100,99,1,38000
38,100,100,0,39000
39,100,100,0,40000
40,100,19,81,41000
41,100,98,2,42000
42,100,99,1,43000
43,100,98,2,44000
44,100,98,2,45000
45,100,100,0,46000
46,100,100,0,47000
47,100,100,0,48000
48,100,100,0,49000
49,100,98,2,50000
50,100,23,77,51000
51,100,96,4,52000
52,100,100,0,53000
53,100,99,1,54000
54,100,97,3,55000
55,100,100,0,56000
56,100,98,2,57000
57,100,100,0,58000
58,100,99,1,59000
59,100,100,0,60000
60,100,34,66,61000
61,100,97,3,62000
62,100,95,5,63000
63,100,98,2,64000
64,100,98,2,65000
65,100,96,4,66000
66,100,98,2,67000
67,100,98,2,68000
68,100,100,0,69000
69,100,99,1,70000
70,100,44,56,71000
71,100,94,6,72000
72,100,93,7,73000
73,100,97,3,74000
74,100,97,3,75000
75,100,98,2,76000
76,100,96,4,77000
77,100,99,1,78000
78,100,99,1,79000
79,100,100,0,80000
80,100,52,48,81000
81,100,96,4,82000
82,100,95,5,83000
83,100,97,3,84000
84,100,96,4,85000
85,100,95,5,86000
86,100,98,2,87000
87,100,94,6,88000
88,100,99,1,89000
89,100,98,2,90000
90,100,59,41,91000
91,100,94,6,92000
92,100,93,7,93000
93,100,100,0,94000
94,100,99,1,95000
95,100,97,3,96000
96,100,93,7,97000
97,100,100,0,98000
98,100,99,1,99000
99,100,96,4,99998
100,100,68,32,100998
101,100,93,7,101998
102,100,97,3,102997
103,100,94,6,103995
104,100,98,2,104994
105,100,95,5,105992
106,100,96,4,106991
107,100,96,4,107989
108,100,97,3,108988
109,100,98,2,109984
110,100,79,21,110978
111,100,97,3,111972
112,100,93,7,112959
113,100,91,9,113952
114,100,94,6,114943
115,100,96,4,115924
116,100,95,5,116912
117,100,94,6,117898
118,100,99,1,118882
119,100,95,5,119861
120,100,88,12,120822
121,100,95,5,121775
122,100,92,8,122723
123,100,98,2,123675
124,100,95,5,124616
125,100,98,2,125542
126,100,96,4,126485
127,100,95,5,127399
128,100,93,7,128310
129,100,99,1,129184
130,100,87,13,130037
131,100,97,3,130909
132,100,95,5,131807
133,100,93,7,132648
134,100,90,10,133491
135,100,96,4,134297
136,100,96,4,135084
137,100,99,1,135808
138,100,96,4,136572
139,100,97,3,137273
140,100,88,12,138026
141,100,89,11,138692
142,100,93,7,139339
143,100,99,1,139984
144,100,97,3,140612
145,100,96,4,141175
146,100,100,0,141778
147,100,96,4,142273
148,100,95,5,142782
149,100,95,5,143268
150,100,90,10,143728
151,100,95,5,144237
152,100,91,9,144654
153,100,95,5,145012
154,100,97,3,145499
155,100,96,4,145849
156,100,99,1,146194
157,100,98,2,146611
158,100,97,3,146756
159,100,99,1,147077
160,100,88,12,147311
161,100,92,8,147511
162,100,94,6,147752
163,100,96,4,147984
164,100,96,4,148192
165,100,98,2,148343
166,100,97,3,148479
167,100,99,1,148778
168,100,96,4,148811
169,100,96,4,148978
170,100,89,11,149103
171,100,98,2,149288
172,100,90,10,149324
173,100,95,5,149352
174,100,96,4,149481
175,100,96,4,149537
176,100,98,2,149623
177,100,98,2,149857
178,100,99,1,149933
179,100,98,2,149960
180,100,85,15,149945
181,100,97,3,150012
182,100,95,5,150101
183,100,97,3,150215
184,100,96,4,150175
185,100,92,8,150196
186,100,100,0,150206
187,100,95,5,150207
188,100,97,3,150194
189,100,97,3,150270
190,100,92,8,150257
